 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:31:36.031  SFO SVG 0.189 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:31:44.031  SFO SVG 0.203 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:31:52.031  SFO SVG 0.204 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:31:56.031  SFO SVG 0.236 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:32:04.032  SVG SNN 0.172 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:32:10.032  SNN SVG 0.206 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:32:15.032  LAX RIX 0.158 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:32:18.032  LAX RIX 0.156 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:32:21.032  LAX RIX 0.141 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:32:24.032  SNN SVG 0.343 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:32:29.032  SNN SVG 0.360 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:32:33.032  SNN SVG 0.328 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:32:40.032  SNN SVG 0.363 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:32:44.032  SNN SVG 0.360 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:32:48.032  SNN SVG 0.331 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:32:51.032  AMS FOR 0.187 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:32:51.032  AMS FOR 0.172 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:32:51.032  AMS FOR 0.172 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:32:51.032  AMS FOR 0.173 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:32:54.032  SNN SVG 0.351 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:32:58.032  SNN SVG 0.360 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:33:01.033  ORD JNB 0.187 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:33:01.033  ORD JNB 0.189 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:33:02.033  ORD JNB 0.188 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:33:02.033  ORD JNB 0.189 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:33:06.033  MMX SVG 0.377 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:33:10.033  MMX SVG 1.19 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:33:15.033  MMX SVG 0.410 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:33:21.033  MMX SVG 0.407 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:33:26.033  MMX SVG 0.408 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:33:31.033  MMX SVG 0.391 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:33:36.033  MMX SVG 1.833 >
